For	for	IN	O	0	3		3000385
some	some	DT	O	4	8	 	3000385
reason	reason	NN	O	9	15	 	3000385
the	the	DT	O	16	19	 	3000385
doctor	doctor	NN	O	20	26	 	3000385
started	start	VBD	O	27	34	 	3000385
me	me	PRP	O	35	37	 	3000385
on	on	IN	O	38	40	 	3000385
40	40	CD	O	41	43	 	3000385
mg	mg	NN	O	44	46	 	3000385
/	/	:	O	46	47		3000385
day	day	NN	O	47	50		3000385
after	after	IN	O	51	56	 	3000385
years	year	NNS	O	57	62	 	3000385
of	of	IN	O	63	65	 	3000385
unsatisfactory	unsatisfactory	NN	O	66	80	 	3000385
results	result	NNS	O	81	88	 	3000385
with	with	IN	O	89	93	 	3000385
pravachol	pravachol	NN	B-DRUG	94	103	 	3000385
.	.	.	O	103	104		3000385
Flu	flu	NN	B-DIS	105	108	 	3000385
like	like	IN	I-DIS	109	113	 	3000385
symptoms	symptom	NNS	I-DIS	114	122	 	3000385
started	start	VBN	O	123	130	 	3000385
immediately	immediately	RB	O	131	142	 	3000385
-	-	:	O	142	143		3000385
then	then	RB	O	143	147		3000385
numbness	numbness	JJ	B-DIS	148	156	 	3000385
in	in	IN	I-DIS	157	159	 	3000385
my	my	PRP$	I-DIS	160	162	 	3000385
shoulder	shoulder	NN	I-DIS	163	171	 	3000385
,	,	,	O	171	172		3000385
gas	gas	NN	B-DIS	173	176	 	3000385
,	,	,	O	176	177		3000385
headaches	headaches	VBZ	B-DIS	178	187	 	3000385
,	,	,	O	187	188		3000385
diarrhea	diarrhea	NN	B-DIS	188	196		3000385
,	,	,	O	196	197		3000385
dark	dark	NN	B-DIS	198	202	 	3000385
urine	urine	NN	I-DIS	203	208	 	3000385
them	them	PRP	O	209	213	 	3000385
debilitating	debilitate	VBG	O	214	226	 	3000385
joint	joint	JJ	B-DIS	227	232	 	3000385
and	and	CC	I-DIS	233	236	 	3000385
muscle	muscle	NN	I-DIS	237	243	 	3000385
pain	pain	NN	I-DIS	244	248	 	3000385
.	.	.	O	248	249		3000385
I	i	PRP	O	250	251	 	3000385
can	can	MD	B-DIS	252	255	 	3000385
barely	barely	RB	I-DIS	256	262	 	3000385
walk	walk	VB	I-DIS	263	267	 	3000385
-	-	:	O	267	268		3000385
took	took	NN	O	268	272		3000385
for	for	IN	O	273	276	 	3000385
only	only	RB	O	277	281	 	3000385
10	10	CD	O	282	284	 	3000385
days	day	NNS	O	285	289	 	3000385
.	.	.	O	289	290		3000385
Have	have	VBP	O	291	295	 	3000385
been	be	VBN	O	296	300	 	3000385
off	off	RP	O	301	304	 	3000385
for	for	IN	O	305	308	 	3000385
4	4	CD	O	309	310	 	3000385
days	day	NNS	O	311	315	 	3000385
with	with	IN	O	316	320	 	3000385
no	no	DT	O	321	323	 	3000385
improvement	improvement	NN	O	324	335	 	3000385
-	-	:	O	335	336		3000385
I	i	PRP	O	336	337		3000385
am	be	VBP	O	338	340	 	3000385
terrified	terrify	VBN	O	341	350	 	3000385
.	.	.	O	350	351		3000385
Went	went	NN	O	352	356	 	3000385
to	to	TO	O	357	359	 	3000385
the	the	DT	O	360	363	 	3000385
doctor	doctor	NN	O	364	370	 	3000385
and	and	CC	O	371	374	 	3000385
he	he	PRP	O	375	377	 	3000385
did	do	VBD	O	378	381	 	3000385
no	no	DT	O	382	384	 	3000385
additional	additional	JJ	O	385	395	 	3000385
tests	test	NNS	O	396	401	 	3000385
-	-	:	O	402	403	 	3000385
just	just	RB	O	404	408	 	3000385
said	say	VBD	O	409	413	 	3000385
to	to	TO	O	414	416	 	3000385
stay	stay	VB	O	417	421	 	3000385
off	off	RP	O	422	425	 	3000385
lipitor	lipitor	NN	B-DRUG	426	433	 	3000385
.	.	.	O	433	434		3000385
When	when	WRB	O	435	439	 	3000385
I	i	PRP	O	440	441	 	3000385
asked	ask	VBD	O	442	447	 	3000385
if	if	IN	O	448	450	 	3000385
I	i	PRP	O	451	452	 	3000385
would	would	MD	O	453	458	 	3000385
feel	feel	VB	O	459	463	 	3000385
better	good	JJR	O	464	470	 	3000385
-	-	:	O	470	471		3000385
he	he	PRP	O	471	473		3000385
just	just	RB	O	474	478	 	3000385
said	say	VBD	O	479	483	 	3000385
he	he	PRP	O	484	486	 	3000385
hoped	hop	VBD	O	487	492	 	3000385
so	so	RB	O	493	495	 	3000385
-	-	:	O	495	496		3000385
what	what	WP	O	496	500		3000385
is	be	VBZ	O	501	503	 	3000385
that	that	IN	O	504	508	 	3000385
supposed	suppose	VBN	O	509	517	 	3000385
to	to	TO	O	518	520	 	3000385
mean	mean	VB	O	521	525	 	3000385
??	??	.	O	525	527		3000385
Has	have	VBZ	O	528	531	 	3000385
anyone	anyone	NN	O	532	538	 	3000385
had	have	VBD	O	539	542	 	3000385
any	any	DT	O	543	546	 	3000385
advice	advice	NN	O	547	553	 	3000385
from	from	IN	O	554	558	 	3000385
their	their	PRP$	O	559	564	 	3000385
doctor	doctor	NN	O	565	571	 	3000385
on	on	IN	O	572	574	 	3000385
how	how	WRB	O	575	578	 	3000385
to	to	TO	O	579	581	 	3000385
reverse	reverse	VB	O	582	589	 	3000385
these	these	DT	O	590	595	 	3000385
effects	effect	NNS	O	596	603	 	3000385
?.	?.	:	O	603	605		3000385
I	i	PRP	O	606	607	 	3000385
WOULD	would	MD	O	608	613	 	3000385
NOT	not	RB	O	614	617	 	3000385
TAKE	take	VB	O	618	622	 	3000385
THIS	this	DT	O	623	627	 	3000385
MEDICINE	medicine	NN	O	628	636	 	3000385
-	-	:	O	636	637		3000385
WOULD	would	MD	O	637	642		3000385
RATHER	rather	RB	O	643	649	 	3000385
DIE	die	VB	O	650	653	 	3000385
OF	of	IN	O	654	656	 	3000385
HEART	heart	NN	B-DIS	657	662	 	3000385
ATTACK	attack	NN	I-DIS	663	669	 	3000385
THAN	than	IN	O	670	674	 	3000385
FEEL	feel	NN	O	675	679	 	3000385
LIKE	like	IN	O	680	684	 	3000385
THIS	this	DT	O	685	689	 	3000385
FOR	for	IN	O	690	693	 	3000385
THE	the	DT	O	694	697	 	3000385
REST	rest	NN	O	698	702	 	3000385
OF	of	IN	O	703	705	 	3000385
MY	my	PRP$	O	706	708	 	3000385
LIFE	life	NN	O	709	713	 	3000385
.	.	.	O	713	714		3000385

I	i	PRP	O	0	1		3001052
had	have	VBD	O	2	5	 	3001052
flu	flu	PRP	B-DIS	6	9	 	3001052
-	-	:	I-DIS	9	10		3001052
like	like	IN	I-DIS	10	14		3001052
symptoms	symptom	NNS	I-DIS	15	23	 	3001052
and	and	CC	O	24	27	 	3001052
my	my	PRP$	O	28	30	 	3001052
legs	leg	NNS	B-DIS	31	35	 	3001052
just	just	RB	I-DIS	36	40	 	3001052
ached	ache	VBD	I-DIS	41	46	 	3001052
.	.	.	O	46	47		3001052
They	they	PRP	O	48	52	 	3001052
hurt	hurt	VBP	B-DIS	53	57	 	3001052
from	from	IN	I-DIS	58	62	 	3001052
my	my	PRP$	I-DIS	63	65	 	3001052
ankles	ankle	NNS	I-DIS	66	72	 	3001052
to	to	TO	I-DIS	73	75	 	3001052
my	my	PRP$	I-DIS	76	78	 	3001052
hips	hip	NNS	I-DIS	79	83	 	3001052
and	and	CC	O	84	87	 	3001052
on	on	IN	O	88	90	 	3001052
certain	certain	JJ	O	91	98	 	3001052
days	day	NNS	O	99	103	 	3001052
I	i	PRP	O	104	105	 	3001052
could	could	MD	B-DIS	106	111	 	3001052
hardly	hardly	RB	I-DIS	112	118	 	3001052
walk	walk	VB	I-DIS	119	123	 	3001052
.	.	.	O	123	124		3001052
