0	START	OUTSIDE	OUTSIDE
0	i	OUTSIDE	OUTSIDE
0	have	OUTSIDE	OUTSIDE
0	hot	BEGIN	BEGIN
0	flashes	INSIDE	INSIDE
0	and	OUTSIDE	OUTSIDE
0	think	OUTSIDE	OUTSIDE
0	that	OUTSIDE	OUTSIDE
0	my	OUTSIDE	OUTSIDE
0	weight	BEGIN	BEGIN
0	gain	INSIDE	INSIDE
0	has	OUTSIDE	OUTSIDE
0	something	OUTSIDE	OUTSIDE
0	to	OUTSIDE	OUTSIDE
0	do	OUTSIDE	OUTSIDE
0	with	OUTSIDE	OUTSIDE
0	savella	OUTSIDE	OUTSIDE
0	.	OUTSIDE	OUTSIDE
0	OOV	OUTSIDE	OUTSIDE
1	START	OUTSIDE	OUTSIDE
1	i	OUTSIDE	OUTSIDE
1	was	OUTSIDE	OUTSIDE
1	put	OUTSIDE	OUTSIDE
1	on	OUTSIDE	OUTSIDE
1	the	OUTSIDE	OUTSIDE
1	drug	OUTSIDE	OUTSIDE
1	for	OUTSIDE	OUTSIDE
1	migranes	BEGIN	BEGIN
1	and	OUTSIDE	OUTSIDE
1	it	OUTSIDE	OUTSIDE
1	has	OUTSIDE	OUTSIDE
1	helped	OUTSIDE	OUTSIDE
1	.	OUTSIDE	OUTSIDE
1	OOV	OUTSIDE	OUTSIDE
2	START	OUTSIDE	OUTSIDE
2	however	OUTSIDE	OUTSIDE
2	i	OUTSIDE	OUTSIDE
2	do	OUTSIDE	OUTSIDE
2	not	INSIDE	OUTSIDE
2	like	INSIDE	OUTSIDE
2	the	INSIDE	OUTSIDE
2	weight	INSIDE	BEGIN
2	i	OUTSIDE	INSIDE
2	have	OUTSIDE	INSIDE
2	gained	INSIDE	INSIDE
2	.	OUTSIDE	OUTSIDE
2	OOV	OUTSIDE	OUTSIDE
3	START	OUTSIDE	OUTSIDE
3	writing	OUTSIDE	OUTSIDE
3	this	OUTSIDE	OUTSIDE
3	because	OUTSIDE	OUTSIDE
3	all	OUTSIDE	OUTSIDE
3	the	OUTSIDE	OUTSIDE
3	other	OUTSIDE	OUTSIDE
3	reviews	OUTSIDE	OUTSIDE
3	about	OUTSIDE	OUTSIDE
3	how	OUTSIDE	OUTSIDE
3	horrible	OUTSIDE	OUTSIDE
3	it	OUTSIDE	OUTSIDE
3	is	OUTSIDE	OUTSIDE
3	freaked	BEGIN	OUTSIDE
3	me	INSIDE	OUTSIDE
3	out	INSIDE	OUTSIDE
3	when	OUTSIDE	OUTSIDE
3	first	OUTSIDE	OUTSIDE
3	taking	OUTSIDE	OUTSIDE
3	it	OUTSIDE	OUTSIDE
3	.	OUTSIDE	OUTSIDE
3	OOV	OUTSIDE	OUTSIDE
4	START	OUTSIDE	OUTSIDE
4	worked	OUTSIDE	OUTSIDE
4	well	OUTSIDE	OUTSIDE
4	,	OUTSIDE	OUTSIDE
4	and	OUTSIDE	OUTSIDE
4	got	OUTSIDE	OUTSIDE
4	rid	OUTSIDE	OUTSIDE
4	of	OUTSIDE	OUTSIDE
4	the	OUTSIDE	OUTSIDE
4	infection	BEGIN	BEGIN
4	caused	OUTSIDE	OUTSIDE
4	by	OUTSIDE	OUTSIDE
4	an	OUTSIDE	OUTSIDE
4	impacted	BEGIN	BEGIN
4	wisdom	INSIDE	INSIDE
4	tooth	INSIDE	INSIDE
4	within	OUTSIDE	OUTSIDE
4	about	OUTSIDE	OUTSIDE
4	3	OUTSIDE	OUTSIDE
4	4	OUTSIDE	OUTSIDE
4	days	OUTSIDE	OUTSIDE
4	after	OUTSIDE	OUTSIDE
4	starting	OUTSIDE	OUTSIDE
4	taking	OUTSIDE	OUTSIDE
4	it	OUTSIDE	OUTSIDE
4	.	OUTSIDE	OUTSIDE
4	OOV	OUTSIDE	OUTSIDE
5	START	OUTSIDE	OUTSIDE
5	no	OUTSIDE	OUTSIDE
5	adverse	OUTSIDE	OUTSIDE
5	side	OUTSIDE	OUTSIDE
5	effects	OUTSIDE	OUTSIDE
5	.	OUTSIDE	OUTSIDE
5	OOV	OUTSIDE	OUTSIDE
6	START	OUTSIDE	OUTSIDE
6	flushed	OUTSIDE	OUTSIDE
6	the	OUTSIDE	OUTSIDE
6	whole	OUTSIDE	OUTSIDE
6	bottle	OUTSIDE	OUTSIDE
6	,	OUTSIDE	OUTSIDE
6	it	OUTSIDE	OUTSIDE
6	was	OUTSIDE	OUTSIDE
6	by	OUTSIDE	OUTSIDE
6	far	OUTSIDE	OUTSIDE
6	the	OUTSIDE	OUTSIDE
6	worst	OUTSIDE	OUTSIDE
6	medicine	OUTSIDE	OUTSIDE
6	and	OUTSIDE	OUTSIDE
6	abdominal	BEGIN	BEGIN
6	pain	INSIDE	INSIDE
6	i	OUTSIDE	OUTSIDE
6	ever	OUTSIDE	OUTSIDE
6	had	OUTSIDE	OUTSIDE
6	in	OUTSIDE	OUTSIDE
6	my	OUTSIDE	OUTSIDE
6	life	OUTSIDE	OUTSIDE
6	.	OUTSIDE	OUTSIDE
6	OOV	OUTSIDE	OUTSIDE
7	going	OUTSIDE	OUTSIDE
7	to	OUTSIDE	OUTSIDE
7	pass	OUTSIDE	OUTSIDE
7	out	OUTSIDE	OUTSIDE
7	not	OUTSIDE	OUTSIDE
7	to	OUTSIDE	OUTSIDE
7	mention	OUTSIDE	OUTSIDE
7	red	BEGIN	BEGIN
7	wheals	INSIDE	INSIDE
7	all	INSIDE	OUTSIDE
7	over	INSIDE	OUTSIDE
7	my	INSIDE	OUTSIDE
7	body	INSIDE	OUTSIDE
7	upon	OUTSIDE	OUTSIDE
7	awakening	BEGIN	OUTSIDE
7	this	OUTSIDE	OUTSIDE
7	am	OUTSIDE	OUTSIDE
